时间,值_x,值_y
2024-05-27 23:59:56,429.470642,
2024-05-27 23:59:51,427.35614,
2024-05-27 23:59:46,431.5427,
2024-05-27 23:59:41,432.412567,
2024-05-27 23:59:36,432.838318,
2024-05-27 23:59:31,430.2028,
2024-05-27 23:59:26,433.701263,
2024-05-27 23:59:21,433.811951,
2024-05-27 23:59:16,435.3207,
2024-05-27 23:59:11,435.756165,
2024-05-27 23:59:06,436.891663,
2024-05-27 23:59:01,434.060822,
2024-05-27 23:58:56,438.1216,
2024-05-27 23:58:51,443.097534,
2024-05-27 23:58:46,440.992859,
2024-05-27 23:58:41,436.1004,
2024-05-27 23:58:36,437.964569,
2024-05-27 23:58:31,441.9165,
2024-05-27 23:58:26,438.575256,
2024-05-27 23:58:21,439.815735,
2024-05-27 23:58:16,438.366943,
2024-05-27 23:58:11,440.455933,
2024-05-27 23:58:06,440.671661,
2024-05-27 23:58:01,441.312744,
2024-05-27 23:57:56,438.371521,
2024-05-27 23:57:51,439.778351,
2024-05-27 23:57:46,435.3026,
2024-05-27 23:57:41,436.933746,
2024-05-27 23:57:36,439.052765,
2024-05-27 23:57:31,431.805145,
2024-05-27 23:57:26,433.614929,
2024-05-27 23:57:21,439.0135,
2024-05-27 23:57:16,430.109375,
2024-05-27 23:57:11,432.225861,
2024-05-27 23:57:06,435.542267,
2024-05-27 23:57:01,430.156616,
2024-05-27 23:56:56,431.290039,
2024-05-27 23:56:51,432.348022,
2024-05-27 23:56:46,429.839417,
2024-05-27 23:56:41,429.1598,
2024-05-27 23:56:36,426.363342,
2024-05-27 23:56:31,424.0532,
2024-05-27 23:56:26,427.362274,
2024-05-27 23:56:21,428.804352,
2024-05-27 23:56:16,424.474426,
2024-05-27 23:56:11,424.746643,
2024-05-27 23:56:06,426.481323,
2024-05-27 23:56:01,421.951141,
2024-05-27 23:55:56,422.408966,
2024-05-27 23:55:51,424.7345,
2024-05-27 23:55:46,421.697449,
2024-05-27 23:55:41,425.53183,
2024-05-27 23:55:36,423.097321,
2024-05-27 23:55:31,420.285217,
2024-05-27 23:55:26,423.735535,
2024-05-27 23:55:21,420.548248,
2024-05-27 23:55:16,421.881775,
2024-05-27 23:55:11,420.55365,
2024-05-27 23:55:06,415.296936,
2024-05-27 23:55:01,419.072784,
2024-05-27 23:54:56,423.335571,
2024-05-27 23:54:51,419.998718,
2024-05-27 23:54:46,422.7538,
2024-05-27 23:54:41,425.3324,
2024-05-27 23:54:36,418.144135,
2024-05-27 23:54:31,419.8759,
2024-05-27 23:54:26,423.986237,
2024-05-27 23:54:21,428.514923,
2024-05-27 23:54:16,421.546326,
2024-05-27 23:54:11,428.085266,
2024-05-27 23:54:06,428.068573,
2024-05-27 23:54:01,424.01828,
2024-05-27 23:53:56,428.0033,
2024-05-27 23:53:51,430.7741,
2024-05-27 23:53:46,431.438843,
2024-05-27 23:53:41,432.276,
2024-05-27 23:53:36,425.941742,
2024-05-27 23:53:31,429.238129,
2024-05-27 23:53:26,433.703552,
2024-05-27 23:53:21,433.994232,
2024-05-27 23:53:16,435.9901,
2024-05-27 23:53:11,438.7195,
2024-05-27 23:53:06,439.653473,
2024-05-27 23:53:01,436.910553,
2024-05-27 23:52:56,437.0832,
2024-05-27 23:52:51,435.081757,
2024-05-27 23:52:46,433.053223,
2024-05-27 23:52:41,438.3427,
2024-05-27 23:52:36,440.0106,
2024-05-27 23:52:31,439.878479,
2024-05-27 23:52:26,440.3756,
2024-05-27 23:52:21,437.0782,
2024-05-27 23:52:16,437.942566,
2024-05-27 23:52:11,437.641418,
2024-05-27 23:52:06,438.058533,
2024-05-27 23:52:01,436.6846,
2024-05-27 23:51:56,431.995026,
2024-05-27 23:51:51,435.3519,
2024-05-27 23:51:46,439.548676,
2024-05-27 23:51:41,438.720734,
2024-05-27 23:51:36,432.331238,
2024-05-27 23:51:31,433.805939,
2024-05-27 23:51:26,437.428162,
2024-05-27 23:51:21,436.6176,
2024-05-27 23:51:16,429.640564,
2024-05-27 23:51:11,431.474945,
2024-05-27 23:51:06,433.651,
2024-05-27 23:51:01,436.048126,
2024-05-27 23:50:56,434.5883,
2024-05-27 23:50:51,431.6539,
2024-05-27 23:50:46,435.972076,
2024-05-27 23:50:41,435.231781,
2024-05-27 23:50:36,434.5027,
2024-05-27 23:50:31,429.135162,
2024-05-27 23:50:26,431.507263,
2024-05-27 23:50:21,430.126343,
2024-05-27 23:50:16,428.8376,
2024-05-27 23:50:11,428.356567,
2024-05-27 23:50:06,425.33,
2024-05-27 23:50:01,429.383118,
2024-05-27 23:49:56,427.731781,
2024-05-27 23:49:51,425.325928,
2024-05-27 23:49:46,426.552643,
2024-05-27 23:49:41,428.572052,
2024-05-27 23:49:36,425.353149,
2024-05-27 23:49:31,423.922333,
2024-05-27 23:48:26,428.0115,
2024-05-27 23:48:21,425.817627,
2024-05-27 23:48:16,424.2237,
2024-05-27 23:48:11,428.313965,
2024-05-27 23:48:06,426.762146,
2024-05-27 23:48:01,428.574768,
2024-05-27 23:47:56,425.164673,
2024-05-27 23:47:51,422.0055,
2024-05-27 23:47:46,424.402924,
2024-05-27 23:47:40,426.24884,
2024-05-27 23:47:35,429.013031,
2024-05-27 23:47:30,424.028961,
2024-05-27 23:47:25,424.170349,
2024-05-27 23:47:20,428.694153,
2024-05-27 23:47:15,429.9738,
2024-05-27 23:47:10,425.000122,
2024-05-27 23:47:05,430.307617,
2024-05-27 23:47:00,431.617981,
2024-05-27 23:46:55,428.943817,
2024-05-27 23:46:50,427.087067,
2024-05-27 23:46:45,427.7115,
2024-05-27 23:46:40,425.226044,
2024-05-27 23:46:35,426.661163,
2024-05-27 23:46:30,431.055725,
2024-05-27 23:46:25,430.01413,
2024-05-27 23:46:20,435.190247,
2024-05-27 23:46:15,428.504761,
2024-05-27 23:46:10,432.593018,
2024-05-27 23:46:05,434.218323,
2024-05-27 23:46:00,435.800629,
2024-05-27 23:45:55,430.8981,
2024-05-27 23:45:50,435.4612,
2024-05-27 23:45:45,428.606873,
2024-05-27 23:45:40,432.070618,
2024-05-27 23:45:35,434.364746,
2024-05-27 23:45:30,435.377777,
2024-05-27 23:45:25,434.066254,
2024-05-27 23:45:20,433.680878,
2024-05-27 23:45:15,437.882751,
2024-05-27 23:45:10,434.200836,
2024-05-27 23:45:05,434.0328,
2024-05-27 23:45:00,437.2798,
2024-05-27 23:44:55,438.900665,
2024-05-27 23:44:50,438.473755,
2024-05-27 23:44:45,433.8765,
2024-05-27 23:44:40,432.66217,
2024-05-27 23:44:35,435.82666,
2024-05-27 23:44:30,435.961334,
2024-05-27 23:44:25,438.4581,
2024-05-27 23:44:20,434.143433,
2024-05-27 23:44:15,427.6354,
2024-05-27 23:44:10,429.9326,
2024-05-27 23:44:05,433.0196,
2024-05-27 23:44:00,433.3669,
2024-05-27 23:43:55,429.978271,
2024-05-27 23:43:50,431.6804,
2024-05-27 23:43:45,433.9634,
2024-05-27 23:43:40,431.653839,
2024-05-27 23:43:35,430.4768,
2024-05-27 23:43:30,426.758972,
2024-05-27 23:43:25,431.275421,
2024-05-27 23:43:20,434.1326,
2024-05-27 23:43:15,430.365021,
2024-05-27 23:43:10,427.795959,
2024-05-27 23:43:05,426.5553,
2024-05-27 23:43:00,429.262238,
2024-05-27 23:42:55,426.949554,
2024-05-27 23:42:50,427.705475,
