时间,值
2024-05-27 23:59:58,12.7563477
2024-05-27 23:59:53,12.7349854
2024-05-27 23:59:48,12.7441406
2024-05-27 23:59:43,12.7288818
2024-05-27 23:59:38,12.7166748
2024-05-27 23:59:33,12.6983643
2024-05-27 23:59:28,12.7227783
2024-05-27 23:59:23,12.6922607
2024-05-27 23:59:18,12.7044678
2024-05-27 23:59:13,12.6525879
2024-05-27 23:59:08,12.701416
2024-05-27 23:59:03,12.6983643
2024-05-27 23:58:58,12.677002
2024-05-27 23:58:53,12.67395
2024-05-27 23:58:48,12.65564
2024-05-27 23:58:43,12.6708984
2024-05-27 23:58:38,12.6586914
2024-05-27 23:58:33,12.701416
2024-05-27 23:58:28,12.67395
2024-05-27 23:58:23,12.7044678
2024-05-27 23:58:18,12.67395
2024-05-27 23:58:13,12.67395
2024-05-27 23:58:08,12.70752
2024-05-27 23:58:03,12.67395
2024-05-27 23:57:58,12.701416
2024-05-27 23:57:53,12.6983643
2024-05-27 23:57:48,12.7044678
2024-05-27 23:57:43,12.6983643
2024-05-27 23:57:38,12.7227783
2024-05-27 23:57:33,12.7166748
2024-05-27 23:57:28,12.7410889
2024-05-27 23:57:23,12.7502441
2024-05-27 23:57:18,12.7563477
2024-05-27 23:57:13,12.7563477
2024-05-27 23:57:08,12.802124
2024-05-27 23:57:03,12.7838135
2024-05-27 23:56:58,12.7838135
2024-05-27 23:56:53,12.8356934
2024-05-27 23:56:48,12.8356934
2024-05-27 23:56:43,12.8204346
2024-05-27 23:56:38,12.8845215
2024-05-27 23:56:33,12.88147
2024-05-27 23:56:28,12.8570557
2024-05-27 23:56:23,12.878418
2024-05-27 23:56:18,12.9180908
2024-05-27 23:56:13,12.9150391
2024-05-27 23:56:08,12.9821777
2024-05-27 23:56:03,12.979126
2024-05-27 23:55:58,13.0004883
2024-05-27 23:55:53,13.0157471
2024-05-27 23:55:48,13.0493164
2024-05-27 23:55:43,13.0523682
2024-05-27 23:55:38,13.079834
2024-05-27 23:55:33,13.079834
2024-05-27 23:55:28,13.0981445
2024-05-27 23:55:23,13.1225586
2024-05-27 23:55:18,13.1011963
2024-05-27 23:55:13,13.1378174
2024-05-27 23:55:08,13.1317139
2024-05-27 23:55:03,13.12561
2024-05-27 23:54:58,13.0981445
2024-05-27 23:54:53,13.1195068
2024-05-27 23:54:48,13.1011963
2024-05-27 23:54:43,13.15918
2024-05-27 23:54:38,13.1011963
2024-05-27 23:54:33,13.1011963
2024-05-27 23:54:28,13.1195068
2024-05-27 23:54:23,13.1134033
2024-05-27 23:54:18,13.1408691
2024-05-27 23:54:13,13.1439209
2024-05-27 23:54:08,13.1225586
2024-05-27 23:54:03,13.1408691
2024-05-27 23:53:58,13.1164551
2024-05-27 23:53:53,13.1195068
2024-05-27 23:53:48,13.1195068
2024-05-27 23:53:43,13.1225586
2024-05-27 23:53:38,13.1408691
2024-05-27 23:53:33,13.1378174
2024-05-27 23:53:28,13.0950928
2024-05-27 23:53:23,13.1073
2024-05-27 23:53:18,13.1347656
2024-05-27 23:53:13,13.1225586
2024-05-27 23:53:08,13.0981445
2024-05-27 23:53:03,13.1134033
2024-05-27 23:52:58,13.0981445
2024-05-27 23:52:53,13.1011963
2024-05-27 23:52:48,13.079834
2024-05-27 23:52:43,13.1164551
2024-05-27 23:52:38,13.0981445
2024-05-27 23:52:33,13.1073
2024-05-27 23:52:28,13.0767822
2024-05-27 23:52:23,13.1011963
2024-05-27 23:52:18,13.079834
2024-05-27 23:52:13,13.104248
2024-05-27 23:52:08,13.0950928
2024-05-27 23:52:03,13.1011963
2024-05-27 23:51:58,13.1195068
2024-05-27 23:51:53,13.1011963
2024-05-27 23:51:48,13.0767822
2024-05-27 23:51:43,13.1011963
2024-05-27 23:51:38,13.1195068
2024-05-27 23:51:33,13.1011963
2024-05-27 23:51:28,13.12561
2024-05-27 23:51:23,13.1011963
2024-05-27 23:51:18,13.15918
2024-05-27 23:51:13,13.192749
2024-05-27 23:51:08,13.15918
2024-05-27 23:51:03,13.15918
2024-05-27 23:50:58,13.1378174
2024-05-27 23:50:53,13.2019043
2024-05-27 23:50:48,13.2019043
2024-05-27 23:50:43,13.1896973
2024-05-27 23:50:38,13.2202148
2024-05-27 23:50:33,13.2263184
2024-05-27 23:50:28,13.2049561
2024-05-27 23:50:23,13.2476807
2024-05-27 23:50:18,13.2720947
2024-05-27 23:50:13,13.2843018
2024-05-27 23:50:08,13.3087158
2024-05-27 23:50:03,13.3209229
2024-05-27 23:49:58,13.3239746
2024-05-27 23:49:53,13.3666992
2024-05-27 23:49:48,13.3392334
2024-05-27 23:49:43,13.369751
2024-05-27 23:49:38,13.369751
2024-05-27 23:49:33,13.3666992
2024-05-27 23:49:28,13.38501
2024-05-27 23:48:28,13.3666992
2024-05-27 23:48:23,13.381958
2024-05-27 23:48:18,13.394165
2024-05-27 23:48:13,13.3666992
2024-05-27 23:48:08,13.38501
2024-05-27 23:48:03,13.3636475
2024-05-27 23:47:58,13.3453369
2024-05-27 23:47:53,13.3575439
2024-05-27 23:47:48,13.369751
2024-05-27 23:47:43,13.3361816
2024-05-27 23:47:38,13.3453369
2024-05-27 23:47:33,13.3392334
2024-05-27 23:47:28,13.3239746
2024-05-27 23:47:23,13.3636475
2024-05-27 23:47:18,13.3178711
2024-05-27 23:47:13,13.3361816
2024-05-27 23:47:08,13.2995605
2024-05-27 23:47:03,13.3209229
2024-05-27 23:46:58,13.3026123
2024-05-27 23:46:53,13.2995605
2024-05-27 23:46:48,13.2873535
2024-05-27 23:46:43,13.2995605
2024-05-27 23:46:38,13.3056641
2024-05-27 23:46:33,13.3056641
2024-05-27 23:46:28,13.269043
2024-05-27 23:46:23,13.3026123
2024-05-27 23:46:18,13.2415771
2024-05-27 23:46:13,13.269043
2024-05-27 23:46:08,13.2415771
2024-05-27 23:46:03,13.2324219
2024-05-27 23:45:58,13.2446289
2024-05-27 23:45:53,13.2415771
2024-05-27 23:45:48,13.2232666
2024-05-27 23:45:43,13.2019043
2024-05-27 23:45:38,13.2049561
2024-05-27 23:45:33,13.2019043
2024-05-27 23:45:28,13.1896973
2024-05-27 23:45:23,13.1866455
2024-05-27 23:45:18,13.1225586
2024-05-27 23:45:13,13.1530762
2024-05-27 23:45:08,13.1378174
2024-05-27 23:45:03,13.1225586
2024-05-27 23:44:58,13.0981445
2024-05-27 23:44:53,13.1225586
2024-05-27 23:44:48,13.1225586
2024-05-27 23:44:43,13.1225586
2024-05-27 23:44:38,13.1011963
2024-05-27 23:44:33,13.1011963
2024-05-27 23:44:28,13.0981445
2024-05-27 23:44:23,13.0981445
2024-05-27 23:44:18,13.104248
2024-05-27 23:44:13,13.1011963
2024-05-27 23:44:08,13.1011963
2024-05-27 23:44:03,13.1011963
2024-05-27 23:43:58,13.1164551
2024-05-27 23:43:53,13.1011963
2024-05-27 23:43:48,13.1195068
2024-05-27 23:43:43,13.1195068
2024-05-27 23:43:38,13.1439209
2024-05-27 23:43:33,13.1561279
2024-05-27 23:43:28,13.1561279
2024-05-27 23:43:23,13.1378174
2024-05-27 23:43:18,13.1652832
2024-05-27 23:43:13,13.1622314
2024-05-27 23:43:08,13.1622314
2024-05-27 23:43:03,13.2080078
2024-05-27 23:42:58,13.2202148
2024-05-27 23:42:53,13.2232666
2024-05-27 23:42:48,13.2171631
2024-05-27 23:42:43,13.2049561
