对象名,点名,描述,时间,值
CLZ_FCS0106_7,FCS0106!PT_02023.PV,F0201出口管线压力,2023-10-30 23:59:56,6.011963
CLZ_FCS0106_7,FCS0106!PT_02023.PV,F0201出口管线压力,2023-10-30 23:59:51,6.01257324
CLZ_FCS0106_7,FCS0106!PT_02023.PV,F0201出口管线压力,2023-10-30 23:59:46,6.013794
CLZ_FCS0106_7,FCS0106!PT_02023.PV,F0201出口管线压力,2023-10-30 23:59:41,6.01318359
CLZ_FCS0106_7,FCS0106!PT_02023.PV,F0201出口管线压力,2023-10-30 23:59:36,6.01257324
CLZ_FCS0106_7,FCS0106!PT_02023.PV,F0201出口管线压力,2023-10-30 23:59:31,6.013794
CLZ_FCS0106_7,FCS0106!PT_02023.PV,F0201出口管线压力,2023-10-30 23:59:26,6.01257324
CLZ_FCS0106_7,FCS0106!PT_02023.PV,F0201出口管线压力,2023-10-30 23:59:21,6.01257324
CLZ_FCS0106_7,FCS0106!PT_02023.PV,F0201出口管线压力,2023-10-30 23:59:16,6.011963
CLZ_FCS0106_7,FCS0106!PT_02023.PV,F0201出口管线压力,2023-10-30 23:59:11,6.011963
CLZ_FCS0106_7,FCS0106!PT_02023.PV,F0201出口管线压力,2023-10-30 23:59:06,6.01135254
CLZ_FCS0106_7,FCS0106!PT_02023.PV,F0201出口管线压力,2023-10-30 23:59:01,6.011963
CLZ_FCS0106_7,FCS0106!PT_02023.PV,F0201出口管线压力,2023-10-30 23:58:56,6.01135254
CLZ_FCS0106_7,FCS0106!PT_02023.PV,F0201出口管线压力,2023-10-30 23:58:51,6.010742
CLZ_FCS0106_7,FCS0106!PT_02023.PV,F0201出口管线压力,2023-10-30 23:58:46,6.011963
CLZ_FCS0106_7,FCS0106!PT_02023.PV,F0201出口管线压力,2023-10-30 23:58:41,6.011963
CLZ_FCS0106_7,FCS0106!PT_02023.PV,F0201出口管线压力,2023-10-30 23:58:36,6.011963
CLZ_FCS0106_7,FCS0106!PT_02023.PV,F0201出口管线压力,2023-10-30 23:58:31,6.010132
CLZ_FCS0106_7,FCS0106!PT_02023.PV,F0201出口管线压力,2023-10-30 23:58:26,6.011963
CLZ_FCS0106_7,FCS0106!PT_02023.PV,F0201出口管线压力,2023-10-30 23:58:21,6.010132
CLZ_FCS0106_7,FCS0106!PT_02023.PV,F0201出口管线压力,2023-10-30 23:58:16,6.01135254
CLZ_FCS0106_7,FCS0106!PT_02023.PV,F0201出口管线压力,2023-10-30 23:58:11,6.011963
