对象名,点名,描述,时间,值
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:59:56,2.04370117
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:59:51,2.04248047
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:59:46,2.04272461
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:59:41,2.04248047
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:59:36,2.041748
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:59:31,2.041748
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:59:26,2.041504
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:59:21,2.04052734
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:59:16,2.04101563
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:59:11,2.03930664
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:59:06,2.040039
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:59:01,2.039795
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:58:56,2.03930664
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:58:51,2.038086
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:58:46,2.03881836
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:58:41,2.03881836
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:58:36,2.03833
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:58:31,2.03735352
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:58:26,2.0378418
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:58:21,2.03710938
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:58:16,2.03710938
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:58:11,2.036621
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:58:06,2.036621
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:58:01,2.036377
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:57:56,2.036621
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:57:51,2.03515625
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:57:46,2.03613281
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:57:41,2.03613281
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:57:36,2.036377
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:57:31,2.03417969
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:57:26,2.03613281
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:57:21,2.03540039
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:57:16,2.03564453
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:57:11,2.03515625
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:57:06,2.03564453
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:57:01,2.03613281
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:56:56,2.03588867
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:56:51,2.03613281
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:56:46,2.036377
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:56:41,2.036621
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:56:36,2.03710938
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:56:31,2.03564453
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:56:26,2.03710938
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:56:21,2.03735352
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:56:16,2.03759766
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:56:11,2.03759766
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:56:06,2.038086
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:56:01,2.03857422
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:55:56,2.03710938
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:55:51,2.03881836
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:55:46,2.03881836
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:55:41,2.03955078
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:55:36,2.040039
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:55:31,2.04052734
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:55:26,2.04077148
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:55:21,2.04125977
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:55:16,2.04199219
CLZ_FCS0106_7,FCS0106!PT_03018.PV,脱甲烷塔顶压力,2023-06-10 23:55:11,2.04248047
